Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,36.0,49.8,26.8,40.5,22.2,44.3,12.4,13.8,31.7,13.4,19.2,32.2
2,10.2,12.8,37.1,4.9,5.6,30.0,33.1,32.4,38.1,14.6,2.1,33.6
3,44.8,44.1,13.2,39.4,5.8,42.4,3.3,38.6,48.7,21.0,5.5,48.8
4,36.7,28.9,8.3,47.5,44.4,28.5,48.9,4.3,47.9,12.2,33.5,41.8
5,47.0,20.8,10.0,4.3,45.2,24.7,41.0,17.4,17.6,41.2,47.9,19.2
6,34.2,48.4,21.2,11.0,45.8,49.9,47.6,29.8,5.7,22.6,27.8,4.2
7,8.1,12.0,48.7,38.5,49.7,36.1,37.5,30.9,36.0,46.2,0.7,7.2
8,33.6,16.1,45.0,38.4,37.4,48.1,44.0,9.1,11.5,12.1,6.2,5.8
9,49.5,2.5,6.7,39.0,13.3,12.0,27.4,12.7,11.9,20.5,20.9,30.4
10,44.3,42.5,40.9,23.6,10.6,46.5,32.7,36.6,40.9,13.1,0.4,48.1
11,15.8,45.3,4.2,22.6,0.7,49.5,4.6,25.3,21.8,32.6,10.7,18.4
12,11.5,32.0,47.5,30.9,9.4,39.2,48.8,0.1,16.6,10.1,5.9,5.2
13,24.7,48.8,19.1,22.9,49.4,33.8,26.2,9.4,25.6,31.0,36.6,42.8
14,14.0,2.7,40.2,40.2,15.3,0.2,6.7,31.5,36.4,1.6,15.3,35.7
15,8.9,29.1,47.3,7.6,29.0,7.3,29.7,38.1,35.3,26.5,20.0,40.3
16,12.5,46.9,10.6,3.6,6.7,24.0,44.6,41.8,14.0,12.2,20.5,33.0
17,11.3,38.7,17.8,4.3,43.9,35.6,12.6,26.6,40.1,9.0,15.9,49.8
18,44.6,35.7,35.3,15.3,26.1,41.1,24.6,29.3,0.6,18.7,26.8,46.4
19,39.6,38.5,4.5,0.1,30.2,16.2,12.1,11.0,1.6,27.4,12.4,32.9
20,47.7,11.4,24.1,15.1,4.4,33.8,35.2,38.3,19.5,29.3,22.7,6.6
21,8.7,21.4,16.8,9.7,17.7,22.5,28.9,17.5,39.7,28.8,4.1,41.7
22,32.9,18.7,12.1,13.4,5.1,36.8,48.6,6.0,11.0,18.2,11.8,43.8
23,39.0,34.1,29.5,17.6,26.7,4.5,13.1,12.8,16.1,26.7,3.5,16.3
24,7.8,24.5,14.2,31.0,30.7,19.0,40.1,48.2,28.6,45.9,18.5,34.1
25,17.9,38.5,44.4,49.5,47.4,9.9,28.2,17.9,17.5,6.8,2.3,5.8
26,2.3,1.8,37.2,45.8,1.7,25.9,39.0,27.6,12.1,35.3,9.2,11.9
27,48.2,38.1,32.6,42.5,13.7,20.2,3.3,13.0,2.0,41.8,0.3,45.8
28,16.1,0.8,13.4,38.7,25.2,46.1,48.4,41.4,24.0,7.3,36.9,46.4
29,3.5,,18.4,44.6,9.8,33.1,36.5,37.5,9.6,47.7,38.4,28.1
30,33.6,,43.6,0.4,28.6,46.5,29.5,7.0,20.1,46.1,11.0,21.3
31,19.9,,44.8,,21.4,,2.0,6.7,,8.4,,48.4
