Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,43.7,43.5,43.6,21.8,3.1,32.3,41.3,31.8,26.3,29.2,46.6,46.4
2,4.7,33.5,46.4,11.5,7.9,16.8,19.8,25.0,1.5,45.8,16.3,12.1
3,2.7,30.8,2.1,42.2,9.8,41.0,29.5,47.7,12.8,11.3,42.5,3.3
4,21.3,10.7,40.5,15.9,46.3,5.2,14.5,7.5,49.7,42.8,6.0,38.7
5,48.4,35.9,6.1,19.6,42.2,25.5,4.4,0.6,37.9,48.4,25.5,15.5
6,19.6,12.7,14.7,18.9,40.8,48.6,14.2,23.9,17.2,28.0,18.7,22.3
7,18.8,24.7,5.3,42.7,31.2,42.0,32.2,40.1,11.9,44.2,43.2,24.2
8,39.3,22.7,16.1,38.0,19.3,12.1,40.1,14.5,8.6,37.8,36.4,11.0
9,42.6,37.3,16.9,7.2,43.0,32.8,25.1,15.0,36.8,44.1,6.0,46.7
10,9.7,36.6,32.0,34.0,22.4,0.7,1.5,42.8,28.9,17.6,1.4,10.7
11,30.1,20.2,45.5,42.4,34.7,9.1,26.1,24.7,0.8,47.0,32.5,31.5
12,24.7,3.1,8.8,46.7,45.0,14.4,45.6,34.9,49.9,3.3,34.8,6.6
13,18.8,8.4,41.1,22.5,45.6,5.2,5.1,4.4,25.9,40.3,11.1,40.3
14,9.5,14.7,16.0,27.2,44.0,31.9,17.7,30.8,13.1,10.2,3.6,0.9
15,21.7,22.7,14.1,26.3,20.3,19.4,13.0,45.2,43.0,10.8,5.1,7.6
16,16.7,16.0,49.6,48.1,39.1,0.9,26.3,31.8,7.8,2.1,6.6,49.7
17,26.8,41.2,28.3,15.0,2.3,6.6,32.1,37.2,44.3,17.7,18.2,18.6
18,14.1,8.1,44.4,6.6,27.3,27.7,49.8,36.8,36.6,14.1,42.4,43.8
19,32.0,3.2,32.6,22.9,14.3,11.2,29.5,40.9,8.5,15.3,14.3,26.8
20,31.9,45.4,33.7,26.4,42.1,15.1,31.6,12.1,18.9,34.0,47.3,16.2
21,29.9,10.9,9.0,42.7,9.8,28.9,40.2,41.4,3.1,15.5,8.9,26.0
22,3.8,1.1,41.5,24.5,7.2,30.7,26.7,4.2,36.6,23.0,19.3,48.9
23,34.7,2.7,10.2,21.4,29.1,12.0,48.0,39.6,3.1,17.5,3.6,41.1
24,39.9,31.8,34.5,38.7,49.3,31.1,33.9,20.4,38.3,45.8,37.7,14.8
25,3.5,33.3,4.5,23.0,11.3,20.5,12.8,44.6,38.1,41.5,15.0,8.0
26,5.9,16.3,8.2,44.9,27.7,38.2,10.5,17.3,21.5,30.9,12.7,23.3
27,49.5,45.2,21.6,17.8,47.3,26.8,9.3,40.2,16.5,34.5,12.2,33.1
28,25.5,42.9,35.2,22.6,38.3,7.6,17.9,9.4,43.7,12.6,24.9,7.9
29,33.0,,22.3,30.9,47.3,20.9,11.2,6.4,22.8,27.4,26.8,10.9
30,27.1,,10.0,5.6,11.1,48.7,16.3,1.5,19.6,2.1,25.8,32.0
31,7.6,,42.3,,36.5,,38.2,49.3,,20.4,,9.8
