Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,5.8,1.4,20.1,42.6,4.2,2.8,45.9,39.0,24.5,45.9,47.0,9.9
2,0.8,20.2,4.1,35.3,21.2,8.1,15.6,13.4,1.4,3.1,36.6,8.1
3,47.0,38.8,13.9,30.0,39.8,43.6,22.5,28.7,36.6,32.5,32.7,12.8
4,40.5,32.9,49.1,39.9,43.7,48.3,29.7,45.8,28.6,36.5,13.7,3.7
5,24.4,39.0,10.0,34.8,29.4,1.4,31.4,25.9,3.2,24.9,45.1,14.9
6,28.3,12.1,42.1,46.4,16.1,48.5,41.0,44.9,26.8,12.7,32.8,43.0
7,49.1,25.5,32.9,48.3,5.5,44.3,32.5,11.9,36.3,18.2,1.5,47.2
8,36.8,22.1,6.8,4.6,46.9,32.4,47.4,18.9,29.2,14.5,49.2,49.6
9,13.8,46.3,46.0,1.6,46.2,30.8,44.0,36.6,26.0,19.6,32.2,2.3
10,49.8,35.5,12.1,30.1,45.5,3.7,33.9,24.9,20.7,41.6,43.1,24.3
11,7.3,0.6,30.5,43.5,22.0,10.0,45.4,34.3,40.4,37.8,11.3,0.5
12,4.6,1.5,1.9,21.8,3.6,35.7,39.3,45.6,19.7,1.6,25.7,41.4
13,2.3,16.6,22.7,43.7,28.8,12.5,15.0,7.1,42.8,29.9,45.8,12.9
14,11.6,38.3,28.1,32.9,23.6,0.2,4.1,29.8,46.0,9.9,31.1,47.9
15,19.3,27.1,14.0,47.1,18.8,29.2,22.1,11.5,49.1,39.3,0.7,11.9
16,18.3,4.6,35.1,50.0,26.3,30.7,25.4,25.2,12.6,30.7,29.7,46.0
17,30.7,26.8,19.9,40.5,6.2,32.1,3.1,5.0,3.1,2.3,15.8,1.4
18,21.0,11.8,34.7,2.4,7.3,47.7,18.5,32.6,14.8,30.0,41.3,26.0
19,31.9,42.8,29.1,5.0,16.5,46.5,45.7,28.1,49.9,13.9,41.4,45.3
20,49.2,7.7,6.1,26.6,43.3,36.3,9.4,16.2,9.5,11.6,13.5,24.8
21,14.8,30.6,41.4,36.2,1.6,28.7,42.1,21.5,48.3,39.3,16.1,7.3
22,27.9,33.2,16.3,11.4,25.7,30.4,2.7,5.2,20.4,15.3,23.4,17.5
23,1.8,16.0,19.0,38.0,2.5,28.7,49.2,30.4,8.7,22.2,21.8,13.7
24,25.0,36.6,45.2,25.8,16.7,13.7,10.5,31.3,26.0,28.7,21.3,6.8
25,45.9,40.2,12.2,44.7,32.5,47.0,38.3,47.8,42.3,14.0,9.9,40.5
26,31.7,18.8,0.7,49.4,32.9,23.5,29.8,1.1,10.4,13.7,44.8,39.4
27,42.5,25.8,12.8,47.9,44.5,18.1,23.2,2.4,27.6,32.8,44.2,3.2
28,20.9,49.1,22.8,20.1,18.5,6.3,13.4,9.9,19.4,43.0,4.9,32.3
29,35.8,,24.3,28.7,43.2,36.8,20.1,1.3,45.0,36.6,10.1,35.6
30,46.2,,35.3,18.2,17.4,22.1,38.1,7.4,5.5,39.4,11.1,38.5
31,38.9,,43.6,,29.9,,10.4,12.0,,33.0,,17.1
