Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,11.4,46.1,18.1,29.1,48.2,26.2,5.2,36.5,28.5,49.6,49.5,33.9
2,32.1,28.8,21.6,18.3,12.3,47.6,14.0,3.5,43.8,25.1,8.4,15.5
3,19.7,11.6,5.1,37.3,31.0,23.4,24.2,2.2,26.8,40.9,43.8,32.0
4,25.3,9.4,21.7,22.3,1.9,17.0,32.7,11.0,16.5,13.3,33.9,2.4
5,2.5,47.5,0.8,48.0,6.8,4.1,46.3,5.4,2.8,8.7,44.2,11.2
6,34.6,36.7,27.1,29.1,45.0,13.5,36.9,49.4,12.9,21.8,13.2,23.2
7,29.0,11.4,48.8,20.3,14.5,15.8,41.9,16.6,36.8,46.9,31.8,28.4
8,30.3,8.3,32.1,38.3,30.9,7.1,11.7,22.9,6.4,43.0,29.6,23.5
9,47.1,47.3,28.0,31.6,18.5,36.4,33.2,12.7,27.8,7.5,43.0,24.9
10,16.3,7.1,18.4,18.2,10.4,13.3,24.2,49.0,17.4,9.3,49.9,35.4
11,5.3,15.3,47.0,11.3,6.4,6.5,42.9,21.3,37.6,15.9,3.2,2.5
12,35.4,19.9,46.6,50.0,1.3,0.7,30.9,3.8,3.8,39.9,37.8,0.6
13,22.9,34.8,9.9,10.2,46.3,7.3,38.1,44.2,24.0,26.5,35.0,3.1
14,36.4,5.1,23.3,20.9,13.2,24.2,0.4,18.6,1.9,45.4,34.2,9.7
15,8.7,6.7,10.6,16.0,28.3,24.8,14.7,30.0,35.3,24.0,14.6,45.1
16,6.5,0.5,36.8,5.3,22.5,35.6,7.3,0.7,19.8,41.9,33.0,47.4
17,47.4,18.0,5.2,2.6,8.5,29.7,39.3,48.1,45.8,28.8,9.8,15.1
18,29.5,20.8,40.5,3.9,7.9,11.7,13.0,36.5,42.6,24.7,1.9,14.4
19,6.1,13.8,21.2,38.4,13.9,20.7,11.2,36.9,31.2,24.5,30.5,42.2
20,6.6,49.2,44.1,42.7,35.9,5.4,12.2,20.3,20.7,25.8,23.5,1.8
21,4.1,49.8,37.9,7.5,13.9,13.1,0.5,21.0,1.5,32.3,0.6,33.8
22,32.9,27.6,14.3,27.3,5.3,18.1,13.6,26.4,34.8,14.2,5.0,22.2
23,29.0,46.6,42.3,30.1,40.4,4.0,36.5,37.4,32.2,26.5,20.7,49.0
24,46.2,6.2,27.1,14.7,22.8,43.8,5.4,15.9,16.0,3.0,5.9,43.3
25,3.0,27.8,41.0,12.4,10.9,32.8,34.0,23.8,15.7,38.2,18.3,10.6
26,1.0,25.0,13.2,17.9,17.4,3.5,38.8,6.7,42.0,39.9,24.9,16.3
27,20.5,32.6,9.9,6.8,6.3,17.3,25.5,34.8,24.1,30.1,3.6,9.7
28,15.8,25.8,18.8,26.6,6.9,9.5,4.6,21.9,7.6,27.4,35.6,24.2
29,11.1,10.9,7.5,40.5,44.1,42.1,20.8,13.2,32.0,16.0,15.1,36.2
30,32.2,,19.5,27.1,29.5,40.1,30.3,1.8,4.0,40.5,1.6,12.0
31,7.8,,8.4,,29.2,,8.3,18.7,,48.0,,26.1
