Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,48.6,31.6,31.6,36.8,5.9,42.0,29.7,28.5,20.4,36.1,39.1,1.6
2,17.6,22.8,40.0,37.1,43.5,16.0,32.4,9.6,42.2,25.7,31.5,16.9
3,40.3,47.8,12.4,23.0,1.1,2.7,26.9,0.7,39.4,48.9,9.4,11.8
4,12.3,39.1,41.7,35.9,2.3,6.3,39.9,8.6,13.7,47.0,4.0,14.1
5,0.9,18.1,42.3,11.5,16.6,16.3,21.8,5.7,19.1,40.1,17.2,4.0
6,32.8,8.7,14.3,45.3,26.7,3.2,9.6,46.7,7.6,33.2,7.1,45.4
7,32.2,8.7,45.1,47.5,11.8,2.1,9.8,22.6,26.9,1.9,4.5,31.8
8,35.8,33.5,1.6,45.4,1.4,33.4,27.3,48.0,40.4,6.1,40.9,29.5
9,47.7,6.4,42.2,4.5,18.3,28.6,46.7,44.2,16.8,23.6,34.3,20.2
10,26.7,38.7,23.8,27.2,35.6,2.9,41.9,2.7,18.2,16.2,41.0,7.7
11,12.7,6.3,12.4,5.4,29.8,26.8,14.1,40.7,2.5,14.5,34.9,39.2
12,0.7,47.0,28.2,48.7,7.1,30.3,48.6,6.7,49.8,48.5,6.5,8.1
13,40.4,4.8,33.0,40.8,47.5,22.6,45.8,25.5,41.7,42.6,29.9,14.3
14,49.7,39.2,3.0,29.1,18.7,33.7,10.3,26.7,36.6,13.5,30.2,31.0
15,31.3,12.5,49.2,45.2,24.2,41.9,16.4,44.5,37.3,30.8,49.3,32.4
16,38.8,27.1,7.6,20.3,43.2,33.7,39.1,28.5,13.6,10.5,29.7,12.0
17,24.0,25.4,20.3,25.5,28.2,27.4,10.8,47.2,14.9,29.3,43.7,16.3
18,17.5,34.8,36.5,24.8,5.2,34.3,12.9,42.3,42.5,31.0,6.0,8.1
19,36.3,22.0,35.6,48.2,36.5,3.3,30.5,19.3,14.3,24.5,35.1,34.3
20,27.1,12.3,23.7,17.2,9.7,49.6,44.3,39.1,47.5,5.6,10.7,5.6
21,48.8,10.3,30.7,26.6,44.1,7.9,40.7,48.6,36.7,2.7,22.2,33.5
22,32.3,1.2,22.7,0.4,16.3,43.5,48.9,18.3,40.5,28.2,18.8,41.5
23,34.7,36.1,34.9,8.4,3.4,7.4,41.3,21.7,12.8,5.0,41.1,28.9
24,18.6,2.7,35.0,38.2,34.2,43.8,6.7,10.0,11.0,30.0,26.9,38.9
25,9.1,31.6,39.4,25.0,39.0,22.4,30.2,33.2,14.1,9.5,4.8,46.9
26,23.2,6.6,43.4,18.6,20.6,8.6,44.6,10.3,5.0,15.2,31.6,13.5
27,11.3,48.9,1.7,29.5,33.4,3.5,16.8,16.2,42.5,16.4,2.2,39.1
28,8.3,22.1,14.4,3.5,23.7,31.4,48.7,28.9,30.6,35.1,40.8,21.2
29,18.9,15.3,3.3,39.8,2.7,25.2,19.8,40.5,10.2,34.1,41.4,41.1
30,30.5,,26.3,30.5,43.2,44.6,45.3,8.1,33.5,32.9,1.3,36.3
31,30.4,,40.6,,43.3,,31.1,30.9,,25.3,,6.4
